n.text,n.type
"""<@U08J18KHB> has joined the channel""","""message"""
"""<@U08J1KK9T> has joined the channel""","""message"""
"""<@U08J27VGT> has joined the channel""","""message"""
"""<@U08J28ZGT> has joined the channel""","""message"""
"""<@U08J26HQA> has joined the channel""","""message"""
"""<@U08J2HAE7> has joined the channel""","""message"""
"""<@U08J2EU95> has joined the channel""","""message"""
"""<@U08J301UK> has joined the channel""","""message"""
"""<@U08J2TL6Q> has joined the channel""","""message"""
"""<@U08J3BL4S> has joined the channel""","""message"""
"""<@U08J3F3L3> has joined the channel""","""message"""
"""<@U08J3RQDN> has joined the channel""","""message"""
"""<@U08J476SE> has joined the channel""","""message"""
"""<@U08J4700P> has joined the channel""","""message"""
"""<@U08J4LA8H> has joined the channel""","""message"""
"""<@U08J4JTGS> has joined the channel""","""message"""
"""<@U08J4U0LT> has joined the channel""","""message"""
"""<@U08J54KKK> has joined the channel""","""message"""
"""<@U08J5DPMG> has joined the channel""","""message"""
"""<@U08J67B26> has joined the channel""","""message"""
"""<@U08J6L06Q> has joined the channel""","""message"""
"""<@U08J6K3LN> has joined the channel""","""message"""
"""<@U08J6LR6J> has joined the channel""","""message"""
"""<@U08J6MX3L> has joined the channel""","""message"""
"""<@U08J6RSQ3> has joined the channel""","""message"""
"""<@U08J6SRR9> has joined the channel""","""message"""
"""<@U08J6TXRV> has joined the channel""","""message"""
"""<@U08J6V28G> has joined the channel""","""message"""
"""<@U08J74FKM> has joined the channel""","""message"""
"""<@U08J71J0Y> has joined the channel""","""message"""
"""<@U08J72BM5> has joined the channel""","""message"""
"""<@U08J72DST> has joined the channel""","""message"""
"""<@U08J748CF> has joined the channel""","""message"""
"""<@U08J75KFS> has joined the channel""","""message"""
"""<@U08J7AAD9> has joined the channel""","""message"""
"""<@U08J7EKT7> has joined the channel""","""message"""
"""<@U08J7HPL1> has joined the channel""","""message"""
"""<@U08J7848P> has joined the channel""","""message"""
"""<@U08J78J2U> has joined the channel""","""message"""
"""<@U08J7GNQ5> has joined the channel""","""message"""
"""<@U08J7HZGR> has joined the channel""","""message"""
"""<@U08J7FFFU> has joined the channel""","""message"""
"""<@U08J7JCLC> has joined the channel""","""message"""
"""<@U08J7HYH5> has joined the channel""","""message"""
"""<@U08J84BCH> has joined the channel""","""message"""
"""<@U08J7U9RS> has joined the channel""","""message"""
"""<@U08J89CSU> has joined the channel""","""message"""
"""<@U08J8B1PZ> has joined the channel""","""message"""
"""<@U08J8EV52> has joined the channel""","""message"""
"""<@U08J8E59C> has joined the channel""","""message"""
"""<@U08J8FTD2> has joined the channel""","""message"""
"""<@U08J8QACD> has joined the channel""","""message"""
"""<@U08J8FV88> has joined the channel""","""message"""
"""<@U08J8J0GY> has joined the channel""","""message"""
"""<@U08J8P5EX> has joined the channel""","""message"""
"""<@U08J8UN05> has joined the channel""","""message"""
"""<@U08J90ALV> has joined the channel""","""message"""
"""<@U08J8LP7H> has joined the channel""","""message"""
"""<@U08J90BUM> has joined the channel""","""message"""
"""<@U08J8P2R2> has joined the channel""","""message"""
"""<@U08J8R94K> has joined the channel""","""message"""
"""<@U08J920TT> has joined the channel""","""message"""
"""<@U08J8N6L8> has joined the channel""","""message"""
"""<@U08J91G2Z> has joined the channel""","""message"""
"""<@U08J8R69J> has joined the channel""","""message"""
"""<@U08J92GCV> has joined the channel""","""message"""
"""<@U08J92JS1> has joined the channel""","""message"""
"""<@U08J8PBDW> has joined the channel""","""message"""
"""<@U08J8TFKM> has joined the channel""","""message"""
"""<@U08J8NXKR> has joined the channel""","""message"""
"""<@U08J8PW0P> has joined the channel""","""message"""
"""<@U08J8SG2Y> has joined the channel""","""message"""
"""<@U08J8QS14> has joined the channel""","""message"""
"""<@U08J8QS78> has joined the channel""","""message"""
"""<@U08J94E6M> has joined the channel""","""message"""
"""<@U08J941FX> has joined the channel""","""message"""
"""<@U08J95K4H> has joined the channel""","""message"""
"""<@U08J8RVPA> has joined the channel""","""message"""
"""<@U08J8TZFE> has joined the channel""","""message"""
"""<@U08J8RLMV> has joined the channel""","""message"""
"""<@U08J8SAJW> has joined the channel""","""message"""
"""<@U08J8U41J> has joined the channel""","""message"""
"""<@U08J8SCFL> has joined the channel""","""message"""
"""<@U08J8SCJE> has joined the channel""","""message"""
"""<@U08J96G69> has joined the channel""","""message"""
"""<@U08J96KPX> has joined the channel""","""message"""
"""<@U08J8T6C8> has joined the channel""","""message"""
"""<@U08J8UGLE> has joined the channel""","""message"""
"""<@U08J97QQ5> has joined the channel""","""message"""
"""<@U08J8UBL0> has joined the channel""","""message"""
"""<@U08J8UBR6> has joined the channel""","""message"""
"""<@U08J8UJES> has joined the channel""","""message"""
"""<@U08J8TXHD> has joined the channel""","""message"""
"""<@U08J90ZQC> has joined the channel""","""message"""
"""<@U08J9078S> has joined the channel""","""message"""
"""<@U08J94119> has joined the channel""","""message"""
"""<@U08J942N7> has joined the channel""","""message"""
"""<@U08J98VAR> has joined the channel""","""message"""
"""<@U08J90D5Y> has joined the channel""","""message"""
"""<@U08J99FS5> has joined the channel""","""message"""
"""<@U08J9154N> has joined the channel""","""message"""
"""<@U08J954G3> has joined the channel""","""message"""
"""<@U08J9358C> has joined the channel""","""message"""
"""<@U08J9359A> has joined the channel""","""message"""
"""<@U08J99YH3> has joined the channel""","""message"""
"""<@U08J90VMM> has joined the channel""","""message"""
"""<@U08J90VP1> has joined the channel""","""message"""
"""<@U08J90VPH> has joined the channel""","""message"""
"""<@U08J91GKU> has joined the channel""","""message"""
"""<@U08J91E4W> has joined the channel""","""message"""
"""<@U08J91AEL> has joined the channel""","""message"""
"""<@U08J9AL2D> has joined the channel""","""message"""
"""<@U08J91ASU> has joined the channel""","""message"""
"""<@U08J92C0Y> has joined the channel""","""message"""
"""<@U08J94952> has joined the channel""","""message"""
"""<@U08J9496G> has joined the channel""","""message"""
"""<@U08J9497E> has joined the channel""","""message"""
"""<@U08J96999> has joined the channel""","""message"""
"""<@U08J969D1> has joined the channel""","""message"""
"""<@U08J94A8L> has joined the channel""","""message"""
"""<@U08J96AHZ> has joined the channel""","""message"""
"""<@U08J92G3A> has joined the channel""","""message"""
"""<@U08J92QSU> has joined the channel""","""message"""
"""<@U08J95CTW> has joined the channel""","""message"""
"""<@U08J95DEY> has joined the channel""","""message"""
"""<@U08J9CPED> has joined the channel""","""message"""
"""<@U08J93JHE> has joined the channel""","""message"""
"""<@U08J93JLQ> has joined the channel""","""message"""
"""<@U08J93K4Y> has joined the channel""","""message"""
"""<@U08J9C761> has joined the channel""","""message"""
"""<@U08J94PJA> has joined the channel""","""message"""
"""<@U08J9DW4R> has joined the channel""","""message"""
"""<@U08J94TGA> has joined the channel""","""message"""
"""<@U08J94RC6> has joined the channel""","""message"""
"""<@U08J98M19> has joined the channel""","""message"""
"""<@U08J9E057> has joined the channel""","""message"""
"""<@U08J98MPD> has joined the channel""","""message"""
"""<@U08J9F0BB> has joined the channel""","""message"""
"""<@U08J9F133> has joined the channel""","""message"""
"""<@U08J95V2A> has joined the channel""","""message"""
"""<@U08J95ZGS> has joined the channel""","""message"""
"""<@U08J9F2P3> has joined the channel""","""message"""
"""<@U08J97S0L> has joined the channel""","""message"""
"""<@U08J960KC> has joined the channel""","""message"""
"""<@U08J97S84> has joined the channel""","""message"""
"""<@U08J97SEQ> has joined the channel""","""message"""
"""<@U08J95X7Y> has joined the channel""","""message"""
"""<@U08J9A143> has joined the channel""","""message"""
"""<@U08J96M54> has joined the channel""","""message"""
"""<@U08J9APQB> has joined the channel""","""message"""
"""<@U08J9G4E5> has joined the channel""","""message"""
"""<@U08J96CTZ> has joined the channel""","""message"""
"""<@U08J96Z7Y> has joined the channel""","""message"""
"""<@U08J9ATAP> has joined the channel""","""message"""
"""<@U08J98WCC> has joined the channel""","""message"""
"""<@U08J973FU> has joined the channel""","""message"""
"""<@U08J96FJB> has joined the channel""","""message"""
"""<@U08J9GJ4D> has joined the channel""","""message"""
"""<@U08J9H95X> has joined the channel""","""message"""
"""<@U08J97F47> has joined the channel""","""message"""
"""<@U08J985C2> has joined the channel""","""message"""
"""<@U08J984VC> has joined the channel""","""message"""
"""<@U08J9BXK5> has joined the channel""","""message"""
"""<@U08J9864W> has joined the channel""","""message"""
"""<@U08J98XKJ> has joined the channel""","""message"""
"""<@U08J9HN05> has joined the channel""","""message"""
"""<@U08J9JFDF> has joined the channel""","""message"""
"""<@U08J99ZNC> has joined the channel""","""message"""
"""<@U08J9C0BE> has joined the channel""","""message"""
"""<@U08J9A0AC> has joined the channel""","""message"""
"""<@U08J9CAUC> has joined the channel""","""message"""
"""<@U08J9F76X> has joined the channel""","""message"""
"""<@U08J9AR1D> has joined the channel""","""message"""
"""<@U08J9BJKY> has joined the channel""","""message"""
"""<@U08J9BLSJ> has joined the channel""","""message"""
"""<@U08J9BNJ2> has joined the channel""","""message"""
"""<@U08J9E5JA> has joined the channel""","""message"""
"""<@U08J9J1JP> has joined the channel""","""message"""
"""<@U08J9EFV0> has joined the channel""","""message"""
"""<@U08J9QFDX> has joined the channel""","""message"""
"""<@U08J9FBS6> has joined the channel""","""message"""
"""<@U08J9PUMB> has joined the channel""","""message"""
"""<@U08J9GHFC> has joined the channel""","""message"""
"""<@U08J9J9LL> has joined the channel""","""message"""
"""<@U08J9S14H> has joined the channel""","""message"""
"""<@U08J9H4CA> has joined the channel""","""message"""
"""<@U08J9S6FP> has joined the channel""","""message"""
"""<@U08J9HR8F> has joined the channel""","""message"""
"""<@U08J9U19P> has joined the channel""","""message"""
"""<@U08J9P5SP> has joined the channel""","""message"""
"""<@U08J9PJMR> has joined the channel""","""message"""
"""<@U08J9LPKL> has joined the channel""","""message"""
"""<@U08J9KWKZ> has joined the channel""","""message"""
"""<@U08J9LJEL> has joined the channel""","""message"""
"""<@U08JA0KMF> has joined the channel""","""message"""
"""<@U08J9V7L5> has joined the channel""","""message"""
"""<@U08J9LTLN> has joined the channel""","""message"""
"""<@U08J9KYCF> has joined the channel""","""message"""
"""<@U08J9MSTU> has joined the channel""","""message"""
"""<@U08J9RN11> has joined the channel""","""message"""
"""<@U08J9MU82> has joined the channel""","""message"""
"""<@U08J9MY22> has joined the channel""","""message"""
"""<@U08J9N163> has joined the channel""","""message"""
"""<@U08J9QT6G> has joined the channel""","""message"""
"""<@U08J9RBAQ> has joined the channel""","""message"""
"""<@U08J9PNT0> has joined the channel""","""message"""
"""<@U08J9P5KR> has joined the channel""","""message"""
"""<@U08J9RBTJ> has joined the channel""","""message"""
"""<@U08J9TWJ0> has joined the channel""","""message"""
"""<@U08J9S93L> has joined the channel""","""message"""
"""<@U08J9TC9Y> has joined the channel""","""message"""
"""<@U08JA0MMJ> has joined the channel""","""message"""
"""<@U08J9UKT8> has joined the channel""","""message"""
"""<@U08J9V80G> has joined the channel""","""message"""
"""<@U08JA239A> has joined the channel""","""message"""
"""<@U08JA1PEW> has joined the channel""","""message"""
"""<@U08JA3AS0> has joined the channel""","""message"""
"""<@U08JA249Y> has joined the channel""","""message"""
"""<@U08JA2L3A> has joined the channel""","""message"""
"""<@U08JA2L9E> has joined the channel""","""message"""
"""<@U08JA3P9U> has joined the channel""","""message"""
"""<@U08JA3WCS> has joined the channel""","""message"""
"""<@U08JA3Y1G> has joined the channel""","""message"""
"""<@U08JA3SQY> has joined the channel""","""message"""
"""<@U08JA424E> has joined the channel""","""message"""
"""<@U08JACPCM> has joined the channel""","""message"""
"""<@U08JA4U72> has joined the channel""","""message"""
"""<@U08JA6PGC> has joined the channel""","""message"""
"""<@U08JA6QCU> has joined the channel""","""message"""
"""<@U08JA5Q5N> has joined the channel""","""message"""
"""<@U08JA78HY> has joined the channel""","""message"""
"""<@U08JA6B7Z> has joined the channel""","""message"""
"""<@U08JAGQ7K> has joined the channel""","""message"""
"""<@U08JAGS9X> has joined the channel""","""message"""
"""<@U08JAGVGR> has joined the channel""","""message"""
"""<@U08JAA128> has joined the channel""","""message"""
"""<@U08JA8M62> has joined the channel""","""message"""
"""<@U08JAC6SF> has joined the channel""","""message"""
"""<@U08JA9BNU> has joined the channel""","""message"""
"""<@U08JA9HKL> has joined the channel""","""message"""
"""<@U08JAC9HA> has joined the channel""","""message"""
"""<@U08JAATCN> has joined the channel""","""message"""
"""<@U08JAK6GM> has joined the channel""","""message"""
"""<@U08JAFJSX> has joined the channel""","""message"""
"""<@U08JABVGX> has joined the channel""","""message"""
"""<@U08JACT40> has joined the channel""","""message"""
"""<@U08JAD0QJ> has joined the channel""","""message"""
"""<@U08JAFUCU> has joined the channel""","""message"""
"""<@U08JAD1QF> has joined the channel""","""message"""
"""<@U08JAF516> has joined the channel""","""message"""
"""<@U08JAGAPJ> has joined the channel""","""message"""
"""<@U08JAT281> has joined the channel""","""message"""
"""<@U08JAT29F> has joined the channel""","""message"""
"""<@U08JAGK39> has joined the channel""","""message"""
"""<@U08JAUNQZ> has joined the channel""","""message"""
"""<@U08JAKB1N> has joined the channel""","""message"""
"""<@U08JAKBL0> has joined the channel""","""message"""
"""<@U08JAUQNM> has joined the channel""","""message"""
"""<@U08JAV337> has joined the channel""","""message"""
"""<@U08JAMQ2E> has joined the channel""","""message"""
"""<@U08JAMUSW> has joined the channel""","""message"""
"""<@U08JAPD70> has joined the channel""","""message"""
"""<@U08JB471P> has joined the channel""","""message"""
"""<@U08JAQBNC> has joined the channel""","""message"""
"""<@U08JB4H3P> has joined the channel""","""message"""
"""<@U08JB4LHK> has joined the channel""","""message"""
"""<@U08JARJFJ> has joined the channel""","""message"""
"""<@U08JARR4N> has joined the channel""","""message"""
"""<@U08JB5GHX> has joined the channel""","""message"""
"""<@U08JASYBY> has joined the channel""","""message"""
"""<@U08JARH9V> has joined the channel""","""message"""
"""<@U08JASSL8> has joined the channel""","""message"""
"""<@U08JB2C9H> has joined the channel""","""message"""
"""<@U08JB18QG> has joined the channel""","""message"""
"""<@U08JB47U4> has joined the channel""","""message"""
"""<@U08JB3LV8> has joined the channel""","""message"""
"""<@U08JB3RL6> has joined the channel""","""message"""
"""<@U08JB6UBE> has joined the channel""","""message"""
"""<@U08JB710U> has joined the channel""","""message"""
"""<@U08JB50TZ> has joined the channel""","""message"""
"""<@U08JB87PW> has joined the channel""","""message"""
"""<@U08JB706N> has joined the channel""","""message"""
"""<@U08JBH49X> has joined the channel""","""message"""
"""<@U08JBHPPB> has joined the channel""","""message"""
"""<@U08JB9WT0> has joined the channel""","""message"""
"""<@U08JBBQMA> has joined the channel""","""message"""
"""<@U08JBB1GA> has joined the channel""","""message"""
"""<@U08JB9WVD> has joined the channel""","""message"""
"""<@U08JBBL6S> has joined the channel""","""message"""
"""<@U08JBED3N> has joined the channel""","""message"""
"""<@U08JBND8V> has joined the channel""","""message"""
"""<@U08JBCL6B> has joined the channel""","""message"""
"""<@U08JBDR4Y> has joined the channel""","""message"""
"""<@U08JBPF17> has joined the channel""","""message"""
"""<@U08JBQE2V> has joined the channel""","""message"""
"""<@U08JBGH2L> has joined the channel""","""message"""
"""<@U08JBJ90S> has joined the channel""","""message"""
"""<@U08JBJLT0> has joined the channel""","""message"""
"""<@U08JBKX46> has joined the channel""","""message"""
"""<@U08JBV1FB> has joined the channel""","""message"""
"""<@U08JBKR98> has joined the channel""","""message"""
"""<@U08JBKXT2> has joined the channel""","""message"""
"""<@U08JBPGL8> has joined the channel""","""message"""
"""<@U08JBRUKE> has joined the channel""","""message"""
"""<@U08JBT6R2> has joined the channel""","""message"""
"""<@U08JBRB2L> has joined the channel""","""message"""
"""<@U08JBQ2DV> has joined the channel""","""message"""
"""<@U08JBV3PV> has joined the channel""","""message"""
"""<@U08JBRBGF> has joined the channel""","""message"""
"""<@U08JBRCRM> has joined the channel""","""message"""
"""<@U08JC0GMA> has joined the channel""","""message"""
"""<@U08JBTYQ2> has joined the channel""","""message"""
"""<@U08JC8QUD> has joined the channel""","""message"""
"""<@U08JC004S> has joined the channel""","""message"""
"""<@U08JC5L2X> has joined the channel""","""message"""
"""<@U08JC0X4P> has joined the channel""","""message"""
"""<@U08JC4ZU7> has joined the channel""","""message"""
"""<@U08JCA17D> has joined the channel""","""message"""
"""<@U08JC6KAS> has joined the channel""","""message"""
"""<@U08JCGXRP> has joined the channel""","""message"""
"""<@U08JC7MU0> has joined the channel""","""message"""
"""<@U08JC8W7L> has joined the channel""","""message"""
"""<@U08JCKTGR> has joined the channel""","""message"""
"""<@U08JCDQLC> has joined the channel""","""message"""
"""<@U08JCC92S> has joined the channel""","""message"""
"""<@U08JCNQCR> has joined the channel""","""message"""
"""<@U08JCPG69> has joined the channel""","""message"""
"""<@U08JCPGQM> has joined the channel""","""message"""
"""<@U08JCGMN0> has joined the channel""","""message"""
"""<@U08JCGMQC> has joined the channel""","""message"""
"""<@U08JCNVDZ> has joined the channel""","""message"""
"""<@U08JD0EGH> has joined the channel""","""message"""
"""<@U08JCLYDC> has joined the channel""","""message"""
"""<@U08JD00TF> has joined the channel""","""message"""
"""<@U08JCN1RN> has joined the channel""","""message"""
"""<@U08JCN4DN> has joined the channel""","""message"""
"""<@U08JCNGNS> has joined the channel""","""message"""
"""<@U08JCTVT5> has joined the channel""","""message"""
"""<@U08JD43GR> has joined the channel""","""message"""
"""<@U08JCS1NY> has joined the channel""","""message"""
"""<@U08JCSR7E> has joined the channel""","""message"""
"""<@U08JCQZV0> has joined the channel""","""message"""
"""<@U08JCS2EA> has joined the channel""","""message"""
"""<@U08JCQA31> has joined the channel""","""message"""
"""<@U08JD6ZBK> has joined the channel""","""message"""
"""<@U08JD6H0V> has joined the channel""","""message"""
"""<@U08JCSXNE> has joined the channel""","""message"""
"""<@U08JD8E0H> has joined the channel""","""message"""
"""<@U08JCV1D4> has joined the channel""","""message"""
"""<@U08JCV1E2> has joined the channel""","""message"""
"""<@U08JCUD42> has joined the channel""","""message"""
"""<@U08JD9ZH7> has joined the channel""","""message"""
"""<@U08JD2ZNJ> has joined the channel""","""message"""
"""<@U08JD3J74> has joined the channel""","""message"""
"""<@U08JD3VJT> has joined the channel""","""message"""
"""<@U08JD5S06> has joined the channel""","""message"""
"""<@U08JDA1HV> has joined the channel""","""message"""
"""<@U08JDE9UY> has joined the channel""","""message"""
"""<@U08JDD30X> has joined the channel""","""message"""
"""<@U08JDEUUW> has joined the channel""","""message"""
"""<@U08JDQS5T> has joined the channel""","""message"""
"""<@U08JDT077> has joined the channel""","""message"""
"""<@U08JDKRB6> has joined the channel""","""message"""
"""<@U08JDKDSL> has joined the channel""","""message"""
"""<@U08JDKG02> has joined the channel""","""message"""
"""<@U08JDK163> has joined the channel""","""message"""
"""<@U08JDLXK4> has joined the channel""","""message"""
"""<@U08JDNUUC> has joined the channel""","""message"""
"""<@U08JE3Z2M> has joined the channel""","""message"""
"""<@U08JDQ5UY> has joined the channel""","""message"""
"""<@U08JDSP9S> has joined the channel""","""message"""
"""<@U08JE0MNX> has joined the channel""","""message"""
"""<@U08JDV8JY> has joined the channel""","""message"""
"""<@U08JDUZS4> has joined the channel""","""message"""
"""<@U08JE41QT> has joined the channel""","""message"""
"""<@U08JDV85D> has joined the channel""","""message"""
"""<@U08JE1TEJ> has joined the channel""","""message"""
"""<@U08JEAMDF> has joined the channel""","""message"""
"""<@U08JE17PH> has joined the channel""","""message"""
"""<@U08JEE0KT> has joined the channel""","""message"""
"""<@U08JE87M5> has joined the channel""","""message"""
"""<@U08JEDUPM> has joined the channel""","""message"""
"""<@U08JELHRB> has joined the channel""","""message"""
"""<@U08JECV26> has joined the channel""","""message"""
"""<@U08JEBYDV> has joined the channel""","""message"""
"""<@U08JEDM1N> has joined the channel""","""message"""
"""<@U08JEFQ68> has joined the channel""","""message"""
"""<@U08JEDVU0> has joined the channel""","""message"""
"""<@U08JECPKR> has joined the channel""","""message"""
"""<@U08JEP17X> has joined the channel""","""message"""
"""<@U08JEHCDS> has joined the channel""","""message"""
"""<@U08JEUF09> has joined the channel""","""message"""
"""<@U08JEQ4KE> has joined the channel""","""message"""
"""<@U08JENL74> has joined the channel""","""message"""
"""<@U08JERSAG> has joined the channel""","""message"""
"""<@U08JEUHJP> has joined the channel""","""message"""
"""<@U08JERWQJ> has joined the channel""","""message"""
"""<@U08JERY3U> has joined the channel""","""message"""
"""<@U08JETYK0> has joined the channel""","""message"""
"""<@U08JES8F9> has joined the channel""","""message"""
"""<@U08JF8RPF> has joined the channel""","""message"""
"""<@U08JF607M> has joined the channel""","""message"""
"""<@U08JF3PJA> has joined the channel""","""message"""
"""<@U08JFB4H5> has joined the channel""","""message"""
"""<@U08JFDW0L> has joined the channel""","""message"""
"""<@U08JFDX5Y> has joined the channel""","""message"""
"""<@U08JFJM7V> has joined the channel""","""message"""
"""<@U08JFTS8M> has joined the channel""","""message"""
"""<@U08JFLWAG> has joined the channel""","""message"""
"""<@U08JFLWR2> has joined the channel""","""message"""
"""<@U08JFRK8B> has joined the channel""","""message"""
"""<@U08JG2VJ5> has joined the channel""","""message"""
"""<@U08JG3FPB> has joined the channel""","""message"""
"""<@U08JG4789> has joined the channel""","""message"""
"""<@U08JG6ABB> has joined the channel""","""message"""
"""<@U08JG07J8> has joined the channel""","""message"""
"""<@U08JFULT0> has joined the channel""","""message"""
"""<@U08JFVB96> has joined the channel""","""message"""
"""<@U08JG5RGB> has joined the channel""","""message"""
"""<@U08JG4DAA> has joined the channel""","""message"""
"""<@U08JGCWN9> has joined the channel""","""message"""
"""<@U08JGEMBP> has joined the channel""","""message"""
"""<@U08JG6SG6> has joined the channel""","""message"""
"""<@U08JG7LDC> has joined the channel""","""message"""
"""<@U08JGGUBT> has joined the channel""","""message"""
"""<@U08JG9AGG> has joined the channel""","""message"""
"""<@U08JG88CF> has joined the channel""","""message"""
"""<@U08JGNJ85> has joined the channel""","""message"""
"""<@U08JGKD8T> has joined the channel""","""message"""
"""<@U08JGQ3LP> has joined the channel""","""message"""
"""<@U08JGRJAC> has joined the channel""","""message"""
"""<@U08JH2JUB> has joined the channel""","""message"""
"""<@U08JH1FNC> has joined the channel""","""message"""
"""<@U08JH63UK> has joined the channel""","""message"""
"""<@U08JH64PM> has joined the channel""","""message"""
"""<@U08JH64TA> has joined the channel""","""message"""
"""<@U08JH9E84> has joined the channel""","""message"""
"""<@U08JHACR4> has joined the channel""","""message"""
"""<@U08JHBJN4> has joined the channel""","""message"""
"""<@U08JHML1F> has joined the channel""","""message"""
"""<@U08JHN0NR> has joined the channel""","""message"""
"""<@U08JHBJEB> has joined the channel""","""message"""
"""<@U08JHF1H6> has joined the channel""","""message"""
"""<@U08JHQHU1> has joined the channel""","""message"""
"""<@U08JHS5GR> has joined the channel""","""message"""
"""<@U08JHJF1A> has joined the channel""","""message"""
"""<@U08JHS6RX> has joined the channel""","""message"""
"""<@U08JHQX3M> has joined the channel""","""message"""
"""<@U08JHQR6W> has joined the channel""","""message"""
"""<@U08JHQT9Q> has joined the channel""","""message"""
"""<@U08JJ0XKM> has joined the channel""","""message"""
"""<@U08JHU3E2> has joined the channel""","""message"""
"""<@U08JHTT2L> has joined the channel""","""message"""
"""<@U08JHU6QY> has joined the channel""","""message"""
"""<@U08JJ05UG> has joined the channel""","""message"""
"""<@U08JJ9FV1> has joined the channel""","""message"""
"""<@U08JJ531V> has joined the channel""","""message"""
"""<@U08JJ7FM0> has joined the channel""","""message"""
"""<@U08JJ55QX> has joined the channel""","""message"""
"""<@U08JJFJDT> has joined the channel""","""message"""
"""<@U08JJEDC4> has joined the channel""","""message"""
"""<@U08JJD5EE> has joined the channel""","""message"""
"""<@U08JJMB29> has joined the channel""","""message"""
"""<@U08JJJQ9H> has joined the channel""","""message"""
"""<@U08JJEARW> has joined the channel""","""message"""
"""<@U08JJTKMF> has joined the channel""","""message"""
"""<@U08JJRKC7> has joined the channel""","""message"""
"""<@U08JK5VHC> has joined the channel""","""message"""
"""<@U08JKFLD9> has joined the channel""","""message"""
"""<@U08JKF39A> has joined the channel""","""message"""
"""<@U08JKF4T1> has joined the channel""","""message"""
"""<@U08JL4K5L> has joined the channel""","""message"""
"""<@U08JL89SA> has joined the channel""","""message"""
